Date,State / Area,Absentee for GE,Primary Deadline,State Code,General Deadline,Online Y/N,Registration VIA Vote.org,Registration Website,Senate Seats,House Seats,Online Resource,Election Type,Notes,Change from 2019
2020-06-02,Maryland,https://www.vote.org/absentee-ballot/maryland/,,MD,2020-10-13,Yes,https://www.vote.org/register-to-vote/maryland/,https://elections.maryland.gov/voter_registration/,,,,State Primary and Presidential Primary,,Yes; both primaries were originally scheduled for April 28.
2020-09-01,Massachusetts,https://www.vote.org/absentee-ballot/massachusetts/,2020-08-12,MA,2020-10-14,Yes,https://www.vote.org/register-to-vote/massachusetts/,https://www.sec.state.ma.us/ovr/,,,,State Primary,,No
2020-08-04,Michigan,https://www.vote.org/absentee-ballot/michigan/,2020-07-21,MI,2020-10-04,Yes,https://www.vote.org/register-to-vote/michigan/,https://mvic.sos.state.mi.us/registervoter,,,,State Primary,,No
2020-08-11,Minnesota,https://www.vote.org/absentee-ballot/minnesota/,2020-07-21,MN,2020-10-13,Yes,https://www.vote.org/register-to-vote/minnesota/,https://mnvotes.sos.state.mn.us/VoterRegistration/VoterRegistrationStep1.aspx,,,,State Primary,,No
2020-03-10,Mississippi,https://www.vote.org/absentee-ballot/mississippi/,,MS,2020-10-05,No,https://www.vote.org/register-to-vote/missouri/,https://www.sos.ms.gov/Elections-Voting/Pages/Voter-Registration-Information.aspx,,,,State Primary* and Presidential Primary,,No
2020-08-04,Missouri,https://www.vote.org/absentee-ballot/missouri/,2020-07-08,MO,2020-10-07,Yes,https://www.vote.org/register-to-vote/missouri/,http://www.sos.mo.gov/elections/goVoteMissouri/register.aspx,,,,State Primary,,No
2020-06-02,Montana,https://www.vote.org/absentee-ballot/montana/,,MT,2020-10-04,No,,https://sosmt.gov/elections/vote/,,,,State Primary and Presidential Primary,,No
2020-05-12,Nebraska,https://www.vote.org/absentee-ballot/nebraska/,,NE,2020-10-16,Yes,https://www.vote.org/register-to-vote/nebraska/,https://www.nebraska.gov/apps-sos-voter-registration/,,,,State Primary and Presidential Primary,,No
2020-06-09,Nevada,https://www.vote.org/absentee-ballot/nevada/,,NV,2020-10-29,Yes,https://www.vote.org/register-to-vote/nevada/,https://nvsos.gov/sosvoterservices/Registration/step1.aspx,0,4,https://www.ballotready.org/nv,State Primary,,No
2020-09-08,New Hampshire,https://www.vote.org/absentee-ballot/new-hampshire/,2020-09-01,NH,2020-10-27,No,,https://sos.nh.gov/HowRegVote.aspx,,,,State Primary,,No
2020-07-07,New Jersey,https://www.vote.org/absentee-ballot/new-jersey/,2020-06-16,NJ,2020-10-13,Yes,https://www.vote.org/register-to-vote/new-jersey/,https://www.state.nj.us/state/elections/voter-registration.shtml,,,,State Primary* and Presidential Primary,,Yes; originally scheduled for June 2.
2020-06-02,New Mexico,https://www.vote.org/absentee-ballot/new-mexico/,,NM,2020-10-06,Yes,https://www.vote.org/register-to-vote/new-mexico/,https://portal.sos.state.nm.us/OVR/(S(od4445h5uj2f5tyucvvhszdf))/WebPages/InstructionsStep1.aspx,,,,State Primary and Presidential Primary,,No
2020-06-23,New York,https://www.vote.org/absentee-ballot/new-york/,,NY,2020-10-09,Yes,https://www.vote.org/register-to-vote/new-york/,http://dmv.ny.gov/org/more-info/electronic-voter-registration-application,0,27,"https://ballotpedia.org/New_York_elections,_2020",State Primary and Presidential Primary,,Yes; the Presidential Primary was originally scheduled for April 28.
2020-03-03,North Carolina,https://www.vote.org/absentee-ballot/north-carolina/,,NC,2020-10-09,No,,https://www.ncsbe.gov/Voters/Registering-to-Vote,,,,State Primary and Presidential Primary,,No
2020-06-09,North Dakota,https://www.vote.org/absentee-ballot/north-dakota/,,ND,N/A,No,,https://vip.sos.nd.gov/PortalListDetails.aspx?ptlhPKID=79&ptlPKID=7,0,1,"https://ballotpedia.org/North_Dakota_elections,_2020",State Primary,,No
2020-04-28,Ohio,https://www.vote.org/absentee-ballot/ohio/,,OH,2020-10-05,Yes,https://www.vote.org/register-to-vote/ohio/,https://olvr.ohiosos.gov/,,,,State Primary and Presidential Primary,,Yes; both primaries were originally scheduled for March 17. The Ohio Legislature passed a law extending absentee voting through April 28.
2020-06-30,Oklahoma,https://www.vote.org/absentee-ballot/oklahoma/,,OK,2020-10-09,Yes,https://www.vote.org/register-to-vote/oklahoma/,https://services.okelections.us/VoterAppChange/,,,,State Primary,,No
2020-05-19,Oregon,https://www.vote.org/absentee-ballot/oregon/,,O,2020-10-13,Yes,https://www.vote.org/register-to-vote/oregon/,https://secure.sos.state.or.us/orestar/vr/register.do?lang=eng&source=SOS,,,,State Primary and Presidential Primary,,No
2020-06-02,Pennsylvania,https://www.vote.org/absentee-ballot/pennsylvania/,,PA,2020-10-19,Yes,https://www.vote.org/register-to-vote/pennsylvania/,https://www.pavoterservices.state.pa.us/Pages/VoterRegistrationApplication.aspx,,,,State Primary and Presidential Primary,,Yes; both primaries were originally scheduled for April 28.
2020-09-08,Rhode Island,https://www.vote.org/absentee-ballot/rhode-island/,2020-08-09,RI,2020-10-04,Yes,https://www.vote.org/register-to-vote/rhode-island/,https://vote.sos.ri.gov/,,,,State Primary,,No
2020-06-09,South Carolina,https://www.vote.org/absentee-ballot/south-carolina/,,SC,2020-10-05,Yes,https://www.vote.org/register-to-vote/south-carolina/,https://info.scvotes.sc.gov/eng/ovr/start.aspx,1,7,https://www.ballotready.org/sc,State Primary,,No
2020-06-02,South Dakota,https://www.vote.org/absentee-ballot/south-dakota/,,SD,2020-10-19,No,,https://sdsos.gov/elections-voting/voting/register-to-vote/default.aspx,,,,State Primary and Presidential Primary,,No
2020-08-06,Tennessee,https://www.vote.org/absentee-ballot/tennessee/,2020-07-07,TN,2020-10-05,Yes,https://www.vote.org/register-to-vote/tennessee/,https://ovr.govote.tn.gov/,,,,State Primary,,No
2020-03-03,Texas,https://www.vote.org/absentee-ballot/texas/,,TX,2020-10-03,No,,https://www.votetexas.gov/register-to-vote/,,,,State Primary,,Yes; originally scheduled for May 26.
2020-06-30,Utah,https://www.vote.org/absentee-ballot/utah/,2020-06-23,UT,2020-10-27,Yes,https://www.vote.org/register-to-vote/utah/,https://secure.utah.gov/voterreg/index.html,,,,State Primary,,No
2020-08-11,Vermont,https://www.vote.org/absentee-ballot/vermont/,N/A,VT,2020-10-30,Yes,https://www.vote.org/register-to-vote/vermont/,http://olvr.sec.state.vt.us/,,,,State Primary,,No
2020-06-23,Virginia,https://www.vote.org/absentee-ballot/virginia/,,VA,2020-10-13,Yes,https://www.vote.org/register-to-vote/virginia/,https://www.elections.virginia.gov/citizen-portal/,1,11,https://www.ballotready.org/va,State Primary*,,Yes; originally scheduled for June 9.
2020-08-04,Washington,https://www.vote.org/absentee-ballot/washington/,2020-08-03,WA,2020-10-26,Yes,https://www.vote.org/register-to-vote/washington/,https://www.sos.wa.gov/elections/register.aspx,,,,State Primary,,No
2020-06-09,West Virginia,https://www.vote.org/absentee-ballot/west-virginia/,,WV,2020-10-13,Yes,https://www.vote.org/register-to-vote/west-virginia/,https://sos.wv.gov/elections/Pages/GoVoteWV.aspx,1,3,https://www.ballotready.org/wv,State Primary and Presidential Primary,,Yes; originally scheduled for May 12.
2020-08-11,Wisconsin,https://www.vote.org/absentee-ballot/wisconsin/,2020-07-22,WI,2020-10-14,Yes,https://www.vote.org/register-to-vote/wisconsin/,https://myvote.wi.gov/en-us/RegisterToVote,,,,State Primary,,No
2020-08-18,Wyoming,https://www.vote.org/absentee-ballot/wyoming/,2020-08-03,WY,2020-10-19,No,,https://sos.wyo.gov/Elections/State/RegisteringToVote.aspx,,,,State Primary,,No
